                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2016


NAME: Dolores, Alicante, Spain                  
ELEV: 10 meters    LAT: 38-09.06 N    LONG: 000-44.82 W


                   TEMPERATURE (C), RAIN (mm), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   18.4   30.1  14:28   11.5  06:47    0.0    0.0    0.0    1.0    8.3  15:29    224
 02   19.8   30.6  16:21   12.5  07:48    0.0    1.4    0.0    0.8    7.6  12:34    269
 03   19.9   33.1  14:20   12.2  05:10    0.0    1.5    0.0    0.7    8.3  15:19    221
 04   20.1   29.0  12:31   15.3  05:53    0.0    1.8    0.0    0.7    6.0  11:17    334
 05   21.3   30.5  12:51   16.1  23:59    0.0    3.0    0.0    1.4   12.1  14:03    257
 06   17.0   22.0  15:09   10.9  22:38    1.4    0.0    0.0    3.9   24.4  10:30    310
 07   14.1   21.6  11:36    7.9  07:30    4.2    0.0    0.0    2.7   17.4  16:53    306
 08   13.5   20.6  13:47    8.0  03:07    4.9    0.0    0.0    4.5   23.5  15:53    311
 09   16.1   23.8  12:22    8.4  03:12    2.3    0.0    0.0    3.1   20.6  13:55    296
 10   17.6   28.0  16:13    9.2  23:59    0.8    0.0    0.0    1.4   11.4  11:19    345
 11   14.6   26.1  15:55    6.1  06:12    3.8    0.0    0.0    1.1    9.2  12:39    254
 12   14.8   26.3  14:55    7.2  07:31    3.5    0.0    0.0    1.1    8.3  16:30    249
 13   14.8   26.6  14:00    9.2  06:49    3.5    0.0    0.0    0.7    6.9  15:01    214
 14   13.3   23.1  13:38    7.3  06:52    5.1    0.0    0.0    1.9   23.5  16:08     27
 15   15.9   20.8  11:05    8.7  03:40    2.4    0.0    0.0    5.4   22.1  13:04     17
 16   14.2   23.6  13:54    7.3  07:07    4.2    0.0    0.0    1.6   11.4  12:24    341
 17   15.7   23.6  14:19    6.7  08:44    2.6    0.0    0.0    1.4    9.2  14:44    192
 18   14.2   27.1  16:15    5.0  06:56    4.1    0.0    0.0    0.9    8.3  14:08    248
 19   16.3   26.9  11:56   11.3  22:23    2.0    0.0    0.0    1.3   10.7  14:27     95
 20   14.3   23.7  14:26    8.6  04:18    4.0    0.0    0.0    0.7    6.9  11:00    261
 21   16.5   26.1  13:50   11.8  06:15    1.8    0.0    0.0    0.5    8.3  16:16    247
 22   16.0   21.5  12:15   13.0  22:45    2.3    0.0    0.0    2.2   13.6  16:48    360
 23   12.6   18.8  15:52    7.8  23:44    5.7    0.0    0.0    0.7   13.6  00:23    278
 24   10.5   20.1  15:10    5.6  04:20    7.8    0.0    0.0    0.4    6.9  12:15    257
 25   10.4   21.6  14:06    3.5  06:25    7.9    0.0    0.3    0.8    9.2  16:21    169
 26   15.4   21.4  12:50   10.1  02:30    3.0    0.0    0.0    2.1   11.4  11:32     58
 27   13.8   24.7  11:21    9.2  05:26    4.5    0.0    0.0    0.9    9.2  19:12     58
 28   12.5   26.3  14:24    7.9  06:46    5.8    0.0    0.0    0.5    5.4  13:40    271
 29   13.5   18.5  11:55   10.9  08:15    4.8    0.0    0.0    1.1    8.3  16:42     19
 30   15.3   19.7  11:46   11.0  08:09    3.0    0.0    0.0    4.0   15.9  19:43     74
---------------------------------------------------------------------------------------
      15.4   33.1     03    3.5     25   95.4    7.8    0.3    1.6   24.4     06    329
    

